20221003125147,192.168.1.9,60212,230.5.5.82,5001,1,0.0-1.0,721770,5774160,1.486,6,497,1.207,0
20221003125148,192.168.1.9,60212,230.5.5.82,5001,1,1.0-2.0,660030,5280240,1.944,1,450,0.222,0
20221003125149,192.168.1.9,60212,230.5.5.82,5001,1,2.0-3.0,683550,5468400,1.746,21,486,4.321,0
20221003125150,192.168.1.9,60212,230.5.5.82,5001,1,3.0-4.0,676200,5409600,3.903,49,509,9.627,0
20221003125151,192.168.1.9,60212,230.5.5.82,5001,1,4.0-5.0,865830,6926640,1.693,3,592,0.507,0
20221003125152,192.168.1.9,60212,230.5.5.82,5001,1,5.0-6.0,501270,4010160,4.338,1,342,0.292,0
20221003125153,192.168.1.9,60212,230.5.5.82,5001,1,6.0-7.0,858480,6867840,1.573,18,602,2.990,0
20221003125154,192.168.1.9,60212,230.5.5.82,5001,1,7.0-8.0,771750,6174000,1.999,6,531,1.130,0
20221003125155,192.168.1.9,60212,230.5.5.82,5001,1,8.0-9.0,820260,6562080,1.657,4,562,0.712,0
20221003125156,192.168.1.9,60212,230.5.5.82,5001,1,9.0-10.0,692370,5538960,1.697,5,476,1.050,0
20221003125157,192.168.1.9,60212,230.5.5.82,5001,1,10.0-11.0,683550,5468400,1.697,3,468,0.641,0
20221003125158,192.168.1.9,60212,230.5.5.82,5001,1,11.0-12.0,670320,5362560,1.698,98,554,17.690,0
20221003125159,192.168.1.9,60212,230.5.5.82,5001,1,12.0-13.0,792330,6338640,1.654,7,546,1.282,0
20221003125200,192.168.1.9,60212,230.5.5.82,5001,1,13.0-14.0,685020,5480160,1.688,2,468,0.427,0
20221003125201,192.168.1.9,60212,230.5.5.82,5001,1,14.0-15.0,682080,5456640,1.648,4,468,0.855,0
20221003125202,192.168.1.9,60212,230.5.5.82,5001,1,15.0-16.0,833490,6667920,2.508,5,572,0.874,0
20221003125203,192.168.1.9,60212,230.5.5.82,5001,1,16.0-17.0,776160,6209280,1.317,1,529,0.189,0
20221003125204,192.168.1.9,60212,230.5.5.82,5001,1,17.0-18.0,536550,4292400,2.989,85,450,18.889,0
20221003125205,192.168.1.9,60212,230.5.5.82,5001,1,18.0-19.0,807030,6456240,0.273,23,572,4.021,0
20221003125206,192.168.1.9,60212,230.5.5.82,5001,1,19.0-20.0,773220,6185760,2.473,2,528,0.379,0
20221003125207,192.168.1.9,60212,230.5.5.82,5001,1,20.0-21.0,702660,5621280,1.834,5,483,1.035,0
20221003125208,192.168.1.9,60212,230.5.5.82,5001,1,21.0-22.0,639450,5115600,1.643,37,472,7.839,0
20221003125209,192.168.1.9,60212,230.5.5.82,5001,1,22.0-23.0,687960,5503680,1.668,0,468,0.000,0
20221003125210,192.168.1.9,60212,230.5.5.82,5001,1,23.0-24.0,917280,7338240,1.707,5,629,0.795,0
20221003125211,192.168.1.9,60212,230.5.5.82,5001,1,24.0-25.0,774690,6197520,0.594,12,539,2.226,0
20221003125212,192.168.1.9,60212,230.5.5.82,5001,1,25.0-26.0,577710,4621680,1.725,4,397,1.008,0
20221003125213,192.168.1.9,60212,230.5.5.82,5001,1,26.0-27.0,495390,3963120,6.007,2,339,0.590,0
20221003125214,192.168.1.9,60212,230.5.5.82,5001,1,27.0-28.0,918750,7350000,1.711,137,762,17.979,0
20221003125215,192.168.1.9,60212,230.5.5.82,5001,1,28.0-29.0,683550,5468400,1.692,3,468,0.641,0
20221003125216,192.168.1.9,60212,230.5.5.82,5001,1,29.0-30.0,692370,5538960,1.698,5,476,1.050,0
20221003125216,192.168.1.9,60212,230.5.5.82,5001,1,0.0-30.1,21688380,5759013,2.490,554,15308,3.619,0
